original_name,normalized_name,source
Atlas Guadalajara,Atlas,footballcsv
Atlético San Luis,Atlético San Luis,footballcsv
CD Veracruz,Veracruz,footballcsv
CF América,América,footballcsv
CF Monterrey,Monterrey,footballcsv
CF Pachuca,Pachuca,footballcsv
Club León,León,footballcsv
Club Necaxa,Necaxa,footballcsv
Club Tijuana,Tijuana,footballcsv
Cruz Azul,Cruz Azul,footballcsv
Deportivo Guadalajara,Guadalajara,footballcsv
Deportivo Toluca,Toluca,footballcsv
FC Juárez,FC Juárez,footballcsv
Gallos Blancos,Querétaro,footballcsv
Lobos BUAP,Lobos BUAP,footballcsv
Mazatlán FC,Mazatlán FC,footballcsv
Monarcas Morelia,Monarcas Morelia,footballcsv
Puebla FC,Puebla,footballcsv
Pumas UNAM,Pumas UNAM,footballcsv
Santos Laguna,Santos Laguna,footballcsv
UANL Tigres,Tigres UANL,footballcsv
Toluca,Toluca,thesportsdb
Necaxa,Necaxa,thesportsdb
Pumas UNAM,Pumas UNAM,thesportsdb
CD Guadalajara,Guadalajara,thesportsdb
Cruz Azul,Cruz Azul,thesportsdb
Pachuca,Pachuca,thesportsdb
Atlante,Atlante,thesportsdb
América,América,thesportsdb
Atlas,Atlas,thesportsdb
Atletico de San Luis,Atlético San Luis,thesportsdb
Juárez,FC Juárez,thesportsdb
León,León,thesportsdb
Monterrey,Monterrey,thesportsdb
Puebla,Puebla,thesportsdb
Querétaro,Querétaro,thesportsdb
Santos Laguna,Santos Laguna,thesportsdb
Tigres UANL,Tigres UANL,thesportsdb
Tijuana,Tijuana,thesportsdb
