class,bin_mid,predicted_mean,observed_freq,n
A,0.05,0.08134533294596077,0.125,16
A,0.15000000000000002,0.16039087807331381,0.16581632653061223,392
A,0.25,0.24869215415419735,0.24910394265232974,558
A,0.35000000000000003,0.34788307030875476,0.3409090909090909,528
A,0.45,0.44288561432786666,0.44813278008298757,241
A,0.55,0.5266482281938493,0.5151515151515151,33
A,0.6500000000000001,0.6488750099054326,0.5,4
A_calibrated,0.05,0.0196078431372549,0.0,4
A_calibrated,0.15000000000000002,0.16268677328297482,0.16113744075829384,422
A_calibrated,0.25,0.2600308510590285,0.264945652173913,736
A_calibrated,0.35000000000000003,0.34334987347609525,0.335,200
A_calibrated,0.45,0.433521548309622,0.42492917847025496,353
A_calibrated,0.55,0.5332934932924652,0.5833333333333334,48
A_calibrated,0.6500000000000001,0.6737174980637437,0.6,5
A_calibrated,0.75,0.738563601816165,0.0,2
A_calibrated,0.8500000000000001,0.8362168396770473,1.0,2
D,0.15000000000000002,0.1799581708465674,0.19117647058823528,68
D,0.25,0.2594833196417787,0.26666666666666666,1620
D,0.35000000000000003,0.3088699442959706,0.2976190476190476,84
D_calibrated,0.15000000000000002,0.1803084374979584,0.16091954022988506,87
D_calibrated,0.25,0.2662736218416687,0.2652037617554859,1595
D_calibrated,0.35000000000000003,0.32493026425224075,0.3595505617977528,89
D_calibrated,0.55,0.5984984882970412,1.0,1
H,0.15000000000000002,0.16481035525620635,0.0,6
H,0.25,0.26476388803226397,0.2556818181818182,176
H,0.35000000000000003,0.35524212653393666,0.34791666666666665,480
H,0.45,0.4466527422535998,0.45979381443298967,485
H,0.55,0.5479193915473101,0.5369458128078818,406
H,0.6500000000000001,0.6395584864709905,0.6296296296296297,189
H,0.75,0.7254047639984825,0.5925925925925926,27
H,0.8500000000000001,0.8231237507438446,0.3333333333333333,3
H_calibrated,0.05,0.0196078431372549,0.0,9
H_calibrated,0.15000000000000002,0.1928397996958047,0.25,4
H_calibrated,0.25,0.26370672037067455,0.2582781456953642,302
H_calibrated,0.35000000000000003,0.3358477183661657,0.32158590308370044,227
H_calibrated,0.45,0.4543067585741542,0.4675141242937853,708
H_calibrated,0.55,0.5532291484283678,0.5494505494505495,273
H_calibrated,0.6500000000000001,0.6346559115197475,0.6285714285714286,245
H_calibrated,0.75,0.789760348583878,0.5,4
