date,season,round,home_team,away_team,home_elo_pre,away_elo_pre,elo_diff_pre,home_wins_last_3,home_points_last_3,home_goals_for_last_3,home_goals_against_last_3,home_goal_diff_last_3,home_avg_goals_scored_last_3,home_avg_goals_conceded_last_3,home_clean_sheet_rate_last_3,home_wins_last_5,home_points_last_5,home_goals_for_last_5,home_goals_against_last_5,home_goal_diff_last_5,home_avg_goals_scored_last_5,home_avg_goals_conceded_last_5,home_clean_sheet_rate_last_5,home_wins_last_10,home_points_last_10,home_goals_for_last_10,home_goals_against_last_10,home_goal_diff_last_10,home_avg_goals_scored_last_10,home_avg_goals_conceded_last_10,home_clean_sheet_rate_last_10,home_venue_win_rate,home_venue_goals,home_venue_goals_conceded,home_matches_played_so_far,home_days_since_last_match,away_wins_last_3,away_points_last_3,away_goals_for_last_3,away_goals_against_last_3,away_goal_diff_last_3,away_avg_goals_scored_last_3,away_avg_goals_conceded_last_3,away_clean_sheet_rate_last_3,away_wins_last_5,away_points_last_5,away_goals_for_last_5,away_goals_against_last_5,away_goal_diff_last_5,away_avg_goals_scored_last_5,away_avg_goals_conceded_last_5,away_clean_sheet_rate_last_5,away_wins_last_10,away_points_last_10,away_goals_for_last_10,away_goals_against_last_10,away_goal_diff_last_10,away_avg_goals_scored_last_10,away_avg_goals_conceded_last_10,away_clean_sheet_rate_last_10,away_venue_win_rate,away_venue_goals,away_venue_goals_conceded,away_matches_played_so_far,away_days_since_last_match,h2h_home_wins_last_5,h2h_draws_last_5,h2h_away_wins_last_5,h2h_home_goals_last_5,h2h_away_goals_last_5,h2h_matches_last_5,h2h_home_wins_last_10,h2h_draws_last_10,h2h_away_wins_last_10,h2h_home_goals_last_10,h2h_away_goals_last_10,h2h_matches_last_10
2026-08-15,2026-2027,4,Atlante,Toluca,1497.0129210741618,1606.0799312834247,-109.06701020926289,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,2,21,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1.0,1.0,226,12,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0
2026-08-16,2026-2027,4,Monterrey,FC Juárez,1633.3339758400389,1363.401221354535,269.9327544855039,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1.2,2.0,243,14,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.8,3.0,176,15,5,0,0,13.0,3.0,5,8,1,1,26.0,9.0,10
2026-08-16,2026-2027,4,Atlas,Tigres UANL,1473.070635428417,1608.4744935392011,-135.40385811078409,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2,0.8,224,14,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1.8,1.6,248,15,1,2,2,4.0,5.0,5,3,4,3,12.0,11.0,10
2026-08-16,2026-2027,4,Pumas UNAM,Querétaro,1554.375145779739,1445.4409285139407,108.93421726579822,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.6,1.2,231,15,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.8,2.4,213,15,3,1,1,12.0,4.0,5,5,2,3,17.0,11.0,10
2026-08-16,2026-2027,4,América,Atlético San Luis,1663.792989368565,1482.6571659517613,181.13582341680376,,,,,,,,,,,,,,,,,,,,,,,,,0.8,1.6,0.4,252,22,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1.2,1.4,187,15,3,0,2,9.0,5.0,5,6,0,4,21.0,12.0,10
2026-08-22,2026-2027,5,FC Juárez,América,1363.401221354535,1663.792989368565,-300.39176801403005,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.8,2.0,176,21,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1.0,1.8,252,28,1,0,4,4.0,8.0,5,2,1,7,9.0,17.0,10
2026-08-22,2026-2027,5,Guadalajara,Tijuana,1596.9454249845053,1478.9807544909859,117.9646704935194,,,,,,,,,,,,,,,,,,,,,,,,,0.8,2.0,0.0,231,21,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.6,1.8,211,21,3,1,1,8.0,7.0,5,6,3,1,13.0,8.0,10
2026-08-22,2026-2027,5,Tigres UANL,Atlante,1608.4744935392011,1497.0129210741618,111.46157246503935,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.0,0.6,248,21,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,2.0,2,28,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0
2026-08-22,2026-2027,5,Querétaro,Toluca,1445.4409285139407,1606.0799312834247,-160.63900276948402,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1.0,1.6,213,21,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1.0,1.0,226,19,1,2,2,6.0,10.0,5,3,4,3,15.0,16.0,10
2026-08-23,2026-2027,5,Puebla,Santos Laguna,1410.848290860949,1423.2099242365705,-12.361633375621523,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1.4,1.6,229,22,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.4,1.6,228,708,2,0,3,6.0,9.0,5,3,3,4,10.0,15.0,10
2026-08-29,2026-2027,6,Necaxa,Cruz Azul,1481.5497369926086,1602.778752408099,-121.2290154154905,,,,,,,,,,,,,,,,,,,,,,,,,0.8,2.2,0.6,219,26,,,,,,,,,,,,,,,,,,,,,,,,,0.8,2.4,1.2,240,38,2,1,2,5.0,6.0,5,3,2,5,8.0,14.0,10
2026-08-29,2026-2027,6,Atlante,León,1497.0129210741618,1471.901932283984,25.11098879017777,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,2,35,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.8,2.2,235,35,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0
2026-08-29,2026-2027,6,Tijuana,Pumas UNAM,1478.9807544909859,1554.375145779739,-75.39439128875301,,,,,,,,,,,,,,,,,,,,,,,,,0.8,2.2,1.0,211,28,,,,,,,,,,,,,,,,,,,,,,,,,0.6,2.0,1.4,231,28,1,3,1,7.0,7.0,5,2,4,4,9.0,14.0,10
2026-08-29,2026-2027,6,Atlas,Querétaro,1473.070635428417,1445.4409285139407,27.6297069144764,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2,0.8,224,27,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.8,2.4,213,28,3,1,1,12.0,8.0,5,6,2,2,17.0,10.0,10
2026-08-29,2026-2027,6,Pachuca,Guadalajara,1541.281874705945,1596.9454249845053,-55.66355027856025,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1.2,1.0,233,711,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1.2,1.4,231,28,1,3,1,3.0,3.0,5,2,6,2,8.0,7.0,10
2026-09-05,2026-2027,7,Atlético San Luis,Guadalajara,1482.6571659517613,1596.9454249845053,-114.28825903274401,,,,,,,,,,,,,,,,,,,,,,,,,0.6,2.2,1.0,187,35,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1.2,1.4,231,35,1,2,2,4.0,7.0,5,3,3,4,12.0,16.0,10
2026-09-05,2026-2027,7,Querétaro,Monterrey,1445.4409285139407,1633.3339758400389,-187.8930473260982,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1.0,1.6,213,35,,,,,,,,,,,,,,,,,,,,,,,,,0.8,1.8,0.6,243,34,0,2,3,2.0,8.0,5,2,3,5,7.0,13.0,10
