date,season,stage,round,is_playoff,home_team,away_team,home_goals,away_goals,home_ht_goals,away_ht_goals,source
2018-07-20,2018-19,Apertura,1,False,Atlas,Querétaro,0.0,0.0,0.0,0.0,footballcsv
2018-07-20,2018-19,Apertura,1,False,Veracruz,Pumas UNAM,0.0,2.0,0.0,2.0,footballcsv
2018-07-21,2018-19,Apertura,1,False,Cruz Azul,Puebla,3.0,0.0,0.0,0.0,footballcsv
2018-07-21,2018-19,Apertura,1,False,Pachuca,Monterrey,0.0,1.0,0.0,0.0,footballcsv
2018-07-21,2018-19,Apertura,1,False,Tigres UANL,León,2.0,0.0,1.0,0.0,footballcsv
2018-07-21,2018-19,Apertura,1,False,Tijuana,Guadalajara,2.0,1.0,0.0,0.0,footballcsv
2018-07-22,2018-19,Apertura,1,False,Santos Laguna,Lobos BUAP,2.0,1.0,0.0,1.0,footballcsv
2018-07-22,2018-19,Apertura,1,False,Necaxa,América,2.0,1.0,1.0,0.0,footballcsv
2018-07-22,2018-19,Apertura,1,False,Toluca,Monarcas Morelia,2.0,0.0,0.0,0.0,footballcsv
2018-07-27,2018-19,Apertura,2,False,Monarcas Morelia,Santos Laguna,3.0,1.0,0.0,0.0,footballcsv
2018-07-27,2018-19,Apertura,2,False,Puebla,Toluca,2.0,1.0,2.0,1.0,footballcsv
2018-07-28,2018-19,Apertura,2,False,América,Atlas,3.0,0.0,2.0,0.0,footballcsv
2018-07-28,2018-19,Apertura,2,False,Guadalajara,Cruz Azul,0.0,1.0,0.0,0.0,footballcsv
2018-07-28,2018-19,Apertura,2,False,Querétaro,Pachuca,1.0,0.0,0.0,0.0,footballcsv
2018-07-29,2018-19,Apertura,2,False,Tigres UANL,Tijuana,1.0,0.0,0.0,0.0,footballcsv
2018-07-29,2018-19,Apertura,2,False,Lobos BUAP,Veracruz,2.0,0.0,1.0,0.0,footballcsv
2018-07-29,2018-19,Apertura,2,False,Pumas UNAM,Necaxa,5.0,3.0,1.0,1.0,footballcsv
2018-07-29,2018-19,Apertura,2,False,León,Monterrey,0.0,2.0,0.0,0.0,footballcsv
2018-08-03,2018-19,Apertura,3,False,Veracruz,Monarcas Morelia,2.0,2.0,1.0,1.0,footballcsv
2018-08-03,2018-19,Apertura,3,False,Atlas,Pumas UNAM,0.0,3.0,0.0,2.0,footballcsv
2018-08-04,2018-19,Apertura,3,False,Pachuca,América,1.0,3.0,0.0,1.0,footballcsv
2018-08-04,2018-19,Apertura,3,False,Cruz Azul,Tigres UANL,1.0,0.0,0.0,0.0,footballcsv
2018-08-04,2018-19,Apertura,3,False,Monterrey,Querétaro,2.0,1.0,1.0,1.0,footballcsv
2018-08-04,2018-19,Apertura,3,False,Necaxa,Lobos BUAP,1.0,0.0,0.0,0.0,footballcsv
2018-08-05,2018-19,Apertura,3,False,Toluca,Guadalajara,2.0,2.0,1.0,1.0,footballcsv
2018-08-05,2018-19,Apertura,3,False,Santos Laguna,Puebla,2.0,0.0,1.0,0.0,footballcsv
2018-08-05,2018-19,Apertura,3,False,Tijuana,León,1.0,1.0,0.0,0.0,footballcsv
2018-08-10,2018-19,Apertura,4,False,Puebla,Veracruz,1.0,2.0,0.0,0.0,footballcsv
2018-08-10,2018-19,Apertura,4,False,Monarcas Morelia,Necaxa,2.0,1.0,1.0,0.0,footballcsv
2018-08-11,2018-19,Apertura,4,False,León,Querétaro,4.0,0.0,2.0,0.0,footballcsv
2018-08-11,2018-19,Apertura,4,False,Lobos BUAP,Atlas,0.0,0.0,0.0,0.0,footballcsv
