date,season,stage,round,is_playoff,home_team_raw,away_team_raw,home_goals,away_goals,home_ht_goals,away_ht_goals,source,home_team,away_team
2018-07-20,2018-19,Apertura,1,False,Atlas Guadalajara,Gallos Blancos,0.0,0.0,0.0,0.0,footballcsv,Atlas,Querétaro
2018-07-20,2018-19,Apertura,1,False,CD Veracruz,Pumas UNAM,0.0,2.0,0.0,2.0,footballcsv,Veracruz,Pumas UNAM
2018-07-21,2018-19,Apertura,1,False,Cruz Azul,Puebla FC,3.0,0.0,0.0,0.0,footballcsv,Cruz Azul,Puebla
2018-07-21,2018-19,Apertura,1,False,CF Pachuca,CF Monterrey,0.0,1.0,0.0,0.0,footballcsv,Pachuca,Monterrey
2018-07-21,2018-19,Apertura,1,False,UANL Tigres,Club León,2.0,0.0,1.0,0.0,footballcsv,Tigres UANL,León
2018-07-21,2018-19,Apertura,1,False,Club Tijuana,Deportivo Guadalajara,2.0,1.0,0.0,0.0,footballcsv,Tijuana,Guadalajara
2018-07-22,2018-19,Apertura,1,False,Santos Laguna,Lobos BUAP,2.0,1.0,0.0,1.0,footballcsv,Santos Laguna,Lobos BUAP
2018-07-22,2018-19,Apertura,1,False,Club Necaxa,CF América,2.0,1.0,1.0,0.0,footballcsv,Necaxa,América
2018-07-22,2018-19,Apertura,1,False,Deportivo Toluca,Monarcas Morelia,2.0,0.0,0.0,0.0,footballcsv,Toluca,Monarcas Morelia
2018-07-27,2018-19,Apertura,2,False,Monarcas Morelia,Santos Laguna,3.0,1.0,0.0,0.0,footballcsv,Monarcas Morelia,Santos Laguna
2018-07-27,2018-19,Apertura,2,False,Puebla FC,Deportivo Toluca,2.0,1.0,2.0,1.0,footballcsv,Puebla,Toluca
2018-07-28,2018-19,Apertura,2,False,CF América,Atlas Guadalajara,3.0,0.0,2.0,0.0,footballcsv,América,Atlas
2018-07-28,2018-19,Apertura,2,False,Deportivo Guadalajara,Cruz Azul,0.0,1.0,0.0,0.0,footballcsv,Guadalajara,Cruz Azul
2018-07-28,2018-19,Apertura,2,False,Gallos Blancos,CF Pachuca,1.0,0.0,0.0,0.0,footballcsv,Querétaro,Pachuca
2018-07-29,2018-19,Apertura,2,False,Pumas UNAM,Club Necaxa,5.0,3.0,1.0,1.0,footballcsv,Pumas UNAM,Necaxa
2018-07-29,2018-19,Apertura,2,False,Club León,CF Monterrey,0.0,2.0,0.0,0.0,footballcsv,León,Monterrey
2018-07-29,2018-19,Apertura,2,False,Lobos BUAP,CD Veracruz,2.0,0.0,1.0,0.0,footballcsv,Lobos BUAP,Veracruz
2018-07-29,2018-19,Apertura,2,False,UANL Tigres,Club Tijuana,1.0,0.0,0.0,0.0,footballcsv,Tigres UANL,Tijuana
2018-08-03,2018-19,Apertura,3,False,CD Veracruz,Monarcas Morelia,2.0,2.0,1.0,1.0,footballcsv,Veracruz,Monarcas Morelia
2018-08-03,2018-19,Apertura,3,False,Atlas Guadalajara,Pumas UNAM,0.0,3.0,0.0,2.0,footballcsv,Atlas,Pumas UNAM
2018-08-04,2018-19,Apertura,3,False,CF Pachuca,CF América,1.0,3.0,0.0,1.0,footballcsv,Pachuca,América
2018-08-04,2018-19,Apertura,3,False,Cruz Azul,UANL Tigres,1.0,0.0,0.0,0.0,footballcsv,Cruz Azul,Tigres UANL
2018-08-04,2018-19,Apertura,3,False,CF Monterrey,Gallos Blancos,2.0,1.0,1.0,1.0,footballcsv,Monterrey,Querétaro
2018-08-04,2018-19,Apertura,3,False,Club Necaxa,Lobos BUAP,1.0,0.0,0.0,0.0,footballcsv,Necaxa,Lobos BUAP
2018-08-05,2018-19,Apertura,3,False,Deportivo Toluca,Deportivo Guadalajara,2.0,2.0,1.0,1.0,footballcsv,Toluca,Guadalajara
2018-08-05,2018-19,Apertura,3,False,Santos Laguna,Puebla FC,2.0,0.0,1.0,0.0,footballcsv,Santos Laguna,Puebla
2018-08-05,2018-19,Apertura,3,False,Club Tijuana,Club León,1.0,1.0,0.0,0.0,footballcsv,Tijuana,León
2018-08-10,2018-19,Apertura,4,False,Monarcas Morelia,Club Necaxa,2.0,1.0,1.0,0.0,footballcsv,Monarcas Morelia,Necaxa
2018-08-10,2018-19,Apertura,4,False,Puebla FC,CD Veracruz,1.0,2.0,0.0,0.0,footballcsv,Puebla,Veracruz
2018-08-11,2018-19,Apertura,4,False,UANL Tigres,Deportivo Toluca,1.0,2.0,1.0,0.0,footballcsv,Tigres UANL,Toluca
2018-08-11,2018-19,Apertura,4,False,CF América,CF Monterrey,3.0,0.0,1.0,0.0,footballcsv,América,Monterrey
2018-08-11,2018-19,Apertura,4,False,Lobos BUAP,Atlas Guadalajara,0.0,0.0,0.0,0.0,footballcsv,Lobos BUAP,Atlas
2018-08-11,2018-19,Apertura,4,False,Club León,Gallos Blancos,4.0,0.0,2.0,0.0,footballcsv,León,Querétaro
2018-08-12,2018-19,Apertura,4,False,Pumas UNAM,CF Pachuca,0.0,0.0,0.0,0.0,footballcsv,Pumas UNAM,Pachuca
2018-08-12,2018-19,Apertura,4,False,Deportivo Guadalajara,Santos Laguna,1.0,2.0,1.0,1.0,footballcsv,Guadalajara,Santos Laguna
2018-08-12,2018-19,Apertura,4,False,Club Tijuana,Cruz Azul,1.0,1.0,0.0,0.0,footballcsv,Tijuana,Cruz Azul
2018-08-17,2018-19,Apertura,5,False,Atlas Guadalajara,Monarcas Morelia,0.0,1.0,0.0,1.0,footballcsv,Atlas,Monarcas Morelia
2018-08-17,2018-19,Apertura,5,False,CD Veracruz,Deportivo Guadalajara,0.0,2.0,0.0,2.0,footballcsv,Veracruz,Guadalajara
2018-08-18,2018-19,Apertura,5,False,Cruz Azul,Club León,3.0,0.0,2.0,0.0,footballcsv,Cruz Azul,León
2018-08-18,2018-19,Apertura,5,False,CF Pachuca,Lobos BUAP,3.0,0.0,0.0,0.0,footballcsv,Pachuca,Lobos BUAP
2018-08-18,2018-19,Apertura,5,False,Club Necaxa,Puebla FC,2.0,2.0,0.0,1.0,footballcsv,Necaxa,Puebla
2018-08-18,2018-19,Apertura,5,False,Gallos Blancos,CF América,1.0,1.0,0.0,1.0,footballcsv,Querétaro,América
2018-08-18,2018-19,Apertura,5,False,CF Monterrey,Pumas UNAM,1.0,0.0,1.0,0.0,footballcsv,Monterrey,Pumas UNAM
2018-08-19,2018-19,Apertura,5,False,Santos Laguna,UANL Tigres,3.0,1.0,1.0,0.0,footballcsv,Santos Laguna,Tigres UANL
2018-08-19,2018-19,Apertura,5,False,Deportivo Toluca,Club Tijuana,3.0,0.0,2.0,0.0,footballcsv,Toluca,Tijuana
